empresa,year,ventas,activos,precio_accion,numacciones,retorno_accion,utilidad,deuda
VVV,2023,1443500,2889900,32.24,138662.731,.24462104,247200,1833400
VXRT,2023,7379,91830,.5728,152038.84,-.51733375,-83347,20088
VYGR,2023,250008,351281,8.44,43995.363,.32469344,122014,0
VYX,2023,3830000,4990000,16.91,141200,-.32525802,37000,2832000
VZIO,2023,1680000,960700,7.7,187628.42,.038389921,24800,0
WAB,2023,9677000,18988000,126.9,179159.16,.24657869,1266000,4069000
WALD,2023,218138,1042710,10.94,122076.41,.18690228,-81931,177724
WAT,2023,2956416,4626854,329.23,59126.977,-.039748669,817676,2442264
WDC,2023,12318000,24429000,37.93,319937.433,-.16713524,-1285000,7070000
WDFC,2023,537255,437966,203.24,13562.846,.16328049,89724,126375
WGO,2023,3490700,2432400,59.45,30210.602,.12935662,300700,648100
WHD,2023,1096960,1522561,45.4,79429.598,-.090931416,264366,39973
WHR,2023,19455000,17312000,121.77,54853.011,-.095257759,1015000,7843000
WIRE,2023,2567722,1967912,213.6,15776.307,.44053459,451373,0
WLK,2023,12548000,21035000,139.96,128140.768,.32484913,729000,5517000
WMS,2023,2874473,3268913,172.24,77616.82799999991,.72007465,732131,1351068
WNC,2023,2536500,1362814,25.62,46087.303,.13924098,311949,396465
WOLF,2023,921900,6586700,55.59,124474.27,-.13224888,-380600,4184800
WOR,2023,4916392,3650918,69.47,49755.365,.47694492,212367,795385
WRBY,2023,669765,580312,14.1,113182.975,.04422617,-71996,174457
WRK,2023,20310000,27443700,35.8,256279.376,.18163729,-1511500,8583900
WST,2023,2949800,3829500,352.12,73989.67,.40523529,676000,309000
WTS,2023,2056300,2309400,208.34,33326.245,.36167002,350900,298300
WVVI,2023,39136.114,105708.149,5.3574,4964.529,-.10778224,-1207.2021,23516.969
WWD,2023,2914566,4010203,124.26,60417.6,.44498587,270624,721526
WWW,2023,2242900,2062800,8.890000000000001,79532.461,-.16931248,-68200,1087900
X,2023,18053000,20451000,48.65,223038.5,.67147183,838000,4409000
XAIR,2023,1159,56961,1.74,36039.056,-1.3556575,-63006,17837
XNCR,2023,168338,952692,21.23,60875.198,-.20421839,-138639,83434
XOM,2023,344582000,376317000,99.98,3962917.886,-.064661503,54346000,41573000
XOMA,2023,4758,234301,18.5,11487.808,.0054199696,-41848,124450
XPON,2023,5981.134,11905.331,5.39,6910.717,.85163629,-7169.6123,5958.7261
XRAY,2023,3965000,7370000,35.59,211860.391,.12665296,-85000,2243000
XRX,2023,6886000,9982000,18.33,122905.999,.29132056,179000,1780000
XTNT,2023,91303,92612,1.13,130110.25,.53773308,-10158,23559
XYL,2023,7364000,16112000,114.36,241077.78,.046624184,652000,2284000
YETI,2023,1658713,1297192,51.78,86852.88099999991,.22589946,225458,176113
YHGJ,2023,17804,17247,2.1373,20096.755,.72032267,-399,10372
YMAB,2023,84819,127869,6.82,43621.618,.33471429,-25672,1419
ZBH,2023,7394200,21496900,121.7,208980.711,-.038827419,1277700,5767900
ZBRA,2023,4584000,7306000,273.33,51359.604,.063901901,481000,2372000
ZIMV,2023,457433,1205345,17.75,26536.071,.64207911,-30939,517877
ZTS,2023,8544000,14286000,197.37,459113.691,.30679417,3016000,6755000
ZVIA,2023,166424,90857,2.01,71340.33500000001,-.7104103,-28943,1948
ZWS,2023,1530500,2667000,29.41,172810.551,.340976,191400,532600
