empresa,year,ventas,activos,precio_accion,numacciones,retorno_accion,utilidad,deuda
IPAR,2023,1317675,1369329,144.01,31980.805,.41869211,251382,187952
IPGP,2023,1287439,2698898,108.54,46922.454,.13672113,231973,0
IPSC,2023,2235,360691,3.32,59834.968,-.43514085,-146546,46658
IPWR,2023,236.259,12248.07,7.77,5945.347,-.31998301,-10352.088,202.987
IR,2023,6876100,15563500,77.34,404796.976,.39343381,1164300,2723600
IRBT,2023,890580,733698,38.7,27865.605,-.21806598,-264080,229110
IRDM,2023,790723,2661775,41.16,123850.566,-.21190953,81628,1482490
IRIX,2023,51869,34436,2.81,16247.813,.33504981,-10007,2746
IRMD,2023,65562.296,92156.098,47.47,12605.577,.56173944,20035.459,2043.043
IRTC,2023,492681,433144,107.04,30650.758,.13342476,-125161,129824
IRWD,2023,442735,471073,11.44,156129.046,-.079773903,-945430,715538
ISPR,2023,115605.536,90693.349,9.11999999999999,53105,,-4569.1333,4300.7568
ISRG,2023,7124100,15441500,337.36,352071.592,.24010086,1766800,0
ITCI,2023,464370,728295,71.62,96238.126,.30259299,-159381,16938
ITGR,2023,1596673,2942653,99.08,33326.647,.36967802,167330,1051344
ITI,2023,171987,123445,4.94,42908.024,.051932812,2819,6210
ITOS,2023,12595,667588,10.95,35784.958,-.57861233,-151101,6058
ITRI,2023,2173633,2604263,75.51000000000001,45492.77,.39932585,128867,487483
ITT,2023,3283000,3932600,119.32,82100,.39819384,528200,187700
ITW,2023,16107000,15518000,261.94,300885.88,.19527245,4040000,8583000
IVAC,2023,52665,156506,4.32,26373.454,-.40392065,-13244,7984
JAKK,2023,711557,398951,35.55,10073.264,.70931101,59107,24046
JANX,2023,8083,380407,10.73,46168.43,-.20489788,-72979,26247
JBL,2023,34702000,19424000,126.89,130881.417,.79182148,1537000,3248000
JBSS,2023,999686,425287,117.27,11555.852,.53684759,90224,12830
JBT,2023,1664400,2710400,99.45,31838.746,.088873863,164700,646400
JELD,2023,4304334,2980125,18.88,85215.086,.6711452,141600,1348245
JILL,2023,604661,428180,31.97,10673.421,.20516396,86050,295222
JJSF,2023,1558829,1277236,163.65,19289.799,.25261354,109518,121910
JNJ,2023,85159000,167558000,156.74,2407278.62,-.089687824,21207000,29332000
JNPR,2023,5564500,9518500,29.48,318868.479,-.050810099,470100,1699700
JOUT,2023,663844,681606,54.69,10250.949,.085206509,11740,52344
JVA,2023,68173.40399999989,42191.901,.91,5708.599,-.80726051,-1331.6946,12857.438
KA,2023,5442,10281,3.63,10393.567,-.55922222,-15723,620
KAI,2023,957672,1175665,280.31,11707.096,.46177673,165757,110875
KALU,2023,3087000,2267400,71.19,16014.474,-.021632195,95800,1069000
KAMN,2023,775854,1498655,23.95,28256.389,.10787416,49103,565266
KDP,2023,14814000,52130000,33.32,1398336.103,-.043287039,3192000,13191000
KE,2023,1823429,1259719,27.63,24724.281,.31818247,87729,281454
KEQU,2023,219494,118898,15.15,2879.785,-.092606068,5364,41697
KEYS,2023,5464000,8683000,159.09,175044.604,-.072602749,1358000,2026000
KHC,2023,26640000,90339000,36.98,1226538.694,-.051742792,4572000,20290000
KIDS,2023,148732,438745,32.51,23353.384,-.20055866,-26751,20209
KLAC,2023,10496056,14072357,485.02,137198.902,.43226099,3994696,5890736
KMB,2023,20431000,17344000,121.51,337941.021,-.073413372,2344000,7984000
KMT,2023,2078184,2547234,28.39,80275.367,.23103738,192417,639418
KN,2023,707600,1462800,17.91,90257.14599999991,.086859226,51100,284500
KO,2023,45754000,97703000,58.93,4323413.81,-.045358658,11311000,37507000
KODK,2023,1117000,2355000,3.9,79552.966,.24583495,4000,495000
KOP,2023,2154200,1835500,51.22,20823.066,.60341883,195200,930700
KOPN,2023,40394.177,49312.316,2.03,114449.134,.49292439,-17177.502,2484.4851
KOSS,2023,13099.651,38370.805,3.7,9216.795,-.63040888,-24901.053,0
KRO,2023,1666500,1838000,9.94,115027.016,.13922334,-56000,459500
KROS,2023,151,370025,39.76,29959.378,-.18875623,-169941,14444
KRT,2023,405651,276397,24.85,19964.413,.60012221,42076,71005
KRTX,2023,654,1336209,316.51,37727.117,.4766922,-494777,16688
KRYS,2023,50699,818355,124.06,28206.33,.44853687,-109727,8094
KSCP,2023,12797,22974,.6,75377.489,-1.1474023,-26288,2686
KTB,2023,2607472,1645439,62.42,56180.152,.48610544,319269,841677
KTCC,2023,588135,418272,5.67,10761.871,.2513144,16323,139697
KTOS,2023,1037100,1632500,20.29,128938.622,.67604446,31100,270900
KVHI,2023,132379,172634,5.26,19610.79,-.66421556,-17345,1075
KVUE,2023,15444000,27851000,21.53,1914995.085,,2512000,8286000
KWR,2023,1953313,2714211,213.42,17984.916,.25571775,214495,777004
KYMR,2023,78592,575759,25.46,55487.373,.01983428,-165530,84674
LAKE,2023,124688,153745,18.3,7364.757,.23452687,5993,12314
LANC,2023,1822527,1112994,201.09,27522,.46316242,141508,16967
LASE,2023,3939.473,15124.087,1.18,8253.419,-.5474354,-3348.2341,597.14301
LASR,2023,209921,306803,13.5,46686.107,.28620172,-46766,14159
LCID,2023,595271,8512718,4.21,2289429.227,-.48386204,-3099588,2082815
LCII,2023,3784808,2959319,125.71,25324.579,.34430122,123428,1106372
LCTX,2023,8945,101019,1.09,174986.671,-.070826046,-24733,2952
LCUT,2023,686683,667142,6.71,21814.236,-.093722463,31941,285055
LEA,2023,23466900,14695500,141.21,58259.871,.15182257,933200,2770400
LECO,2023,4191636,3377297,217.46,57199.736,.42272758,717849,1105210
LEG,2023,4725300,4634500,26.17,133319.426,-.14449906,-90400,2195400
LEGH,2023,189144,506742,25.22,24391.797,.28530574,64587,25565
LEGN,2023,285143,1848609,60.17,363822.069,.18675208,-498324,47344
LEVI,2023,6179000,6053600,16.54,397134.873,.095239639,353300,1254900
LFCR,2023,103269,253545,9.67,30322.169,-.030552149,-21796,112624
LFUS,2023,2362657,3995275,267.56,24902.916,.20462513,360862,871935
LFVN,2023,213398,66123,4.35,12794.719,.030768752,4259,13087
LGL,2023,3678,41850,6.14,5352.937,.41610777,646,0
LGND,2023,131314,787216,71.42,17435.958,.066874981,11942,6165
LHX,2023,19419000,41687000,210.62,189540.249,.036029816,1426000,13125000
LII,2023,4981900,2798300,447.52,35539.725,.63947344,781600,1305200
LIPO,2023,449.617,3577.174,1.02,5803.945,-1.1212305,-4745.9526,136.59399
LITE,2023,1767000,4632100,56.73,68700,-.33644676,-115700,2873700
LLY,2023,34124100,64006300,582.92,949307.237,.47566891,6457900,25225300
LMAT,2023,193484,346778,56.76,22263.235,.21994901,36712,19095
LMT,2023,67571000,52456000,453.24,248098.715,-.04404211,8507000,17459000
LNN,2023,674084,745660,117.68,11008.945,-.18697691,102184,133079
LNTH,2023,1296429,1651149,62,68489.15300000001,.19609332,364642,562493
LODE,2023,1274.449,106466.344,.548,117130.225,.68950415,-12604.438,10689.398
LOGI,2023,4298467,3604704,89.37,154819.963,.43130779,587336,0
LOVE,2023,700265,482180,22.6,15488.999,-.24589157,30076,175504
LPTH,2023,32933.949,53536.184,1.35,37325.85,.093090415,-3554.5408,12382.386
LPX,2023,2581000,2437000,70.83,72114.70299999991,.19512653,287000,372000
LRCX,2023,17428516,18781643,642.86,134340.474,.42509699,5174860,5011541
LSCC,2023,737154,840894,68.9899999999999,138028.377,.061422348,212270,10739
LTRX,2023,131189,151624,4.21,36619.483,-.24522567,-6674,18964
LUCD,2023,2428,27270,1.41,44667.304,.036105007,-48482,15255
LUNG,2023,68675,177781,12.75,38308.113,.41373444,-61935,41424
LW,2023,5350600,6519800,114.95,145704.167,.4865365,882100,3462200
LWAY,2023,160123,81654,13.41,14690.987,.88220274,16995,2851
LXRX,2023,1204,229429,1.53,244924.695,-.22183552,-171750,104773
LXU,2023,593709,1298184,9.31,74344.336,-.35667491,51777,611193
LYB,2023,41107000,37000000,95.08,324361.773,.18813753,3053000,12641000
LYEL,2023,130,750029,1.94,251868.968,-.58146662,-247008,56894
LYRA,2023,1558,142600,5.24,52563.127,.51209867,-67120,26881
LYTS,2023,496979,296149,12.56,28367.653,.7296536,37028,42114
LZB,2023,2349433,1866263,28.64,43317.622,.2152288,211439,445914
MAIN,2023,500385,4443570,43.23,83745.16499999991,.24858546,571596,
MAS,2023,7967000,5363000,66.98,224500.911,.38226557,1348000,3206000
MASI,2023,2048100,3041500,117.21,52841.259,-.2329073,136500,871700
MASS,2023,50229,202981,11.22,32379.113,.38692164,-42758,5945
MAT,2023,5441219,6435822,18.88,353232.62,.056660175,561659,2589534
MATW,2023,1880896,1887381,38.91,30467.662,.57643318,88117,864352
MBC,2023,2726200,2381700,14.85,126762.314,.6764524,306300,770200
MBUU,2023,1388365,925924,58.66,20624.724,.10695314,144784,0
MCFT,2023,662046,353976,30.65,17495.267,.37573218,116915,53676
MCHP,2023,7634400,15873200,89.70999999999989,540387.949,.08906889,2571000,5999800
MCRB,2023,126325,358600,1.4,129257.199,-1.3862944,-107983,213936
MDLZ,2023,36016000,71391000,72.43000000000001,1360895.585,.10591698,5502000,19945000
MDT,2023,31227000,90948000,88.09999999999989,1330405.428,.014650822,5485000,24364000
MEC,2023,588425,496661,14.42,20308.356,.13016868,20191,181163
MED,2023,1072054,309908,67.22,10892.602,-.4835124,126402,22012
MEI,2023,1179600,1579100,33.52,37339.352,-.085633755,90400,335400
MEIP,2023,48816,120809,6.58,6662.857,-.60917068,-36764,12728
MGNX,2023,58749,298418,9.61999999999999,62029.447,.36024535,-168244,33971
MGRM,2023,364.999,16579.008,3.44,31131.584,,-17268.029,491.98999
MGTX,2023,14017,326744,7.02,63597.151,.073888898,-137061,89264
MHK,2023,11135115,13559869,103.5,63682.156,.012444496,-287808,3149866
MIDD,2023,4036605,6906692,147.17,53603.195,.094495296,634868,2425195
MIND,2023,36510,33491,4.5556,1405.779,-.014253855,518,1324
MIRM,2023,186374,646621,29.52,46614.274,.41465354,-109154,308142
MITK,2023,172552,405375,10.72,45589.575,.15726495,15564,140590
MITQ,2023,20207,13330,1.17,10913.51,-.10536052,-1975,431
MKC,2023,6662200,12862300,68.42,268237.168,-.17054844,963000,4411400
MKSI,2023,3622000,9118000,102.87,66878.495,.20391369,-1554000,4789000
MLAB,2023,216187,446796,109.73,5394.051,-.45962048,-272075,221698
MLI,2023,3420345,2759301,47.15,113529.41,.4847734,756053,35557
MLKN,2023,4087100,4274800,14.78,75628.55899999991,-.53738236,122300,1869300
MLR,2023,1153354,647210,42.29,11445.64,.48103118,79758,60826
MLSS,2023,9827.444,11371.512,.6899,71048.24099999991,.36276054,-7106.4741,395.978
MMM,2023,32681000,50580000,109.32,552317.037999999,-.033847332,-9128000,16794000
MMSI,2023,1257366,2325244,75.95999999999989,57750.462,.07289362,123944,891359
MNKD,2023,198962,475198,3.64,269574.654,-.37004662,8678,334960
MNOV,2023,1000,66269.977,1.5,49046.246,-.31237468,-9900.2646,215.92599
MNST,2023,7140027,9686522,57.61,1040441.348,.12648892,1953355,0
MNTX,2023,291389,255731,8.74,20252.113,.78161573,15842,76827
MO,2023,24483000,38570000,40.34,1768646.674,-.037673473,11547000,26233000
MOD,2023,2407800,1851500,95.19,52207.75,1.4182091,240700,431600
MODG,2023,4284800,9120600,14.34,184517.048,-.32010078,237700,3092700
MOG_A,2023,3319122,3808036,112.96,31898.478,.4735508,289108,863092
MORF,2023,521,722514,28.88,49742.966,.076614857,-178686,716
MOS,2023,13696100,23032800,35.73,326835.455,-.17939949,1338100,4161300
MOV,2023,672601,769082,27.93,22080.011,.057743311,54705,92092
MPAA,2023,717684,1012002,8.03999999999999,19662.38,.077558279,46120,239335
MPC,2023,150307000,85987000,148.36,379697.277,.26589727,14514000,28501000
MPTI,2023,41168,24305,35.7,2787.86,1.4060969,4299,26
MPWR,2023,1821072,2434353,630.78,47912,.58654118,481736,0
MPX,2023,383729,193802,11.4,34466.726,.011049271,49202,0
MRAM,2023,63765,67303,9.03999999999999,21023.438,.4860611,5885,5580
MRCY,2023,973882,2391367,34.59,58190.096,-.6204617,-21685,578297
MRK,2023,60115000,106675000,109.02,2534023.084,.010048389,2355000,35055000
MRNA,2023,6848000,18426000,99.45,381283.996,-.59118843,-4239000,1218000
MRNS,2023,30989,170908,10.87,54573.581,1.0047247,-131485,75185
MRSN,2023,36855,226060,2.32,120582.114,-.92658246,-179670,33632
MRVI,2023,288945,1487450,6.55,251282.658,-.78149343,-31648,556677
MSA,2023,1787647,2170150,168.83,39311.193,.1699338,231320,646187
MSI,2023,9978000,13336000,313.09,165968.486,.20732784,2294000,6425000
MTD,2023,3788309,3355555,1212.96,21683.802,-.17535686,1079683,2080839
MTEM,2023,57306,35383,3.73,5374.268,-.27690029,-10466,9742
MTEX,2023,131955,41206,8.1,1860.154,-.76677799,-964,1465
MTRN,2023,1665187,1762726,130.13,20642.396,.40151215,136444,493734
MTSI,2023,648407,1553244,81.58,70987.75599999991,.45438695,107400,489379
MTW,2023,2227800,1706700,16.69,35085.03,.59996367,92400,419300
MTX,2023,2169900,3346600,71.31,32543.86,.16518402,171800,1014500
MU,2023,15540000,64254000,68.03,1098034.471,.31420708,-5745000,13933000
MVIS,2023,7259,129635,2.66,189985.743,.12391078,-88875,2323
MWA,2023,1275700,1505000,12.68,156485.455,.22923565,127400,447400
MXL,2023,693263,1080257,23.77,81560.701,-.35646439,-38221,148618
MYE,2023,813067,541631,19.55,36838.466,-.099535465,72405,96602
MYGN,2023,753200,1146500,19.14,82198.20299999991,.27694225,-257400,152100
NAII,2023,154015,134152,7.2,6077.213,-.37156343,4713,28482
NAPA,2023,402996,1347682,10.26,115316.308,-.34105659,105978,253661
NARI,2023,493632,674235,64.92,57590.463,.02117157,-14032,32047
NATR,2023,445320,249773,17.29,19075.041,.73146605,18749,14923
NBIX,2023,1887100,3251400,131.76,98251.923,.098167896,250900,428400
NCL,2023,13971.729,13618.71,1.49,21380,,-4763.7046,6804.6128
NDSN,2023,2628632,5251770,264.16,57016.026,.11677647,672761,1862909
NEOG,2023,822447,4554432,21.75,216308.912,-.1021831,37515,896588
NEU,2023,2698419,2308871,545.83,9590.151,.58303118,483045,713754
NGVT,2023,1692100,2623300,47.22,36231.266,-.39994359,82600,1534500
NKE,2023,51217000,37531000,110.37,1536988.816,.088973522,5915000,12144000
NL,2023,161287,576662,5.61,48833.484,-.14515793,14129,500
NMFC,2023,374836,3159214,12.72,101439.649,.14699459,160316,
NNBR,2023,489270,510885,4,47352.81,.98082924,-21804,206295
NOC,2023,39290000,46544000,468.14,150792.605,-.13686466,2537000,15678000
NOV,2023,8583000,11294000,20.28,393926.996,-.018442154,651000,2377000
NOVT,2023,881662,1226056,168.41,35810.37,.21470308,110496,399906
NPCE,2023,65421,107651,10.31,26283.674,1.9343383,-27174,72395
NPK,2023,340912,440536,80.28,7082.407,.21355104,35033,10664
NPO,2023,1059300,2499500,156.74,20907.364,.3758893,76800,646800
NR,2023,749600,642336,6.64,85088.163,.4700036,33630,92437
NRIX,2023,76987,355598,10.32,48503.768,-.061991692,-155063,30614
NSSC,2023,169997,166654,34.65,36767.78,.52227807,30325,5689
NSYS,2023,139332,75127,9.42,2739.377,-.26269078,5953,14176
NTAP,2023,6362000,9818000,76.40000000000001,212430.865,.18935633,1018000,2389000
NTGR,2023,740840,847142,14.58,29608.455,-.21681356,-33275,29698
NTIC,2023,79902.952,89344.303,13.37,9369.923000000001,.027275085,-432.07391,6786.0498
NTLA,2023,36275,1300977,30.49,89554.891,-.13480163,-515291,115346
NTRB,2023,2085.314,7517.154,4.52,7833.15,.31156385,-4871.9263,241.285
NUE,2023,34713501,35340499,174.04,245838.999,.30441046,6230342,6842186
NVAX,2023,983705,1797490,4.8,118790.222,-.76158428,-566511,229081
NVDA,2023,60922000,65728000,903.559999999999,2500000,1.1798699,32972000,10828000
NVEC,2023,29804.179,66780.033,90.18000000000001,4833.676,.13433123,18518.865,355.147
NVRO,2023,425174,635713,21.52,36205.495,-.60984635,-99308,216105
NVST,2023,2566500,6605100,24.06,171402.37,-.33605647,31500,1653600
NWL,2023,8133000,12163000,8.68,414200,-.37008524,-85000,5350000
NWPX,2023,444355,597881,30.26,10014.196,-.10767102,33858,155457
NX,2023,1130583,831143,30.57,33002.119,.26787639,110701,116385
NXT,2023,2499841,2518782,56.27,144090.587,.43944621,587118,143967
OC,2023,9677000,11237000,148.23,88874.95600000001,.57193899,1812000,3108000
OCC,2023,72173.75199999991,43878.901,2.7,7893.681,-.49288785,993.0802,10999.641
OCGN,2023,6036,64547,.575,256502.434,-.81574953,-65531,6941
OCUL,2023,58443,252060,4.46,79418.626,.46196425,-82382,83389
OCUP,2023,19049,53948,3.01,22637.6,-.15935779,-10563,0
ODC,2023,413021,286235,61.75,7149.511,.9643836,41040,42509
OESX,2023,90581,63169,.8702,32561.601,-.84706795,-10824,10003
OFIX,2023,746641,925315,13.48,36756.607,-.42068028,-139110,113597
OFLX,2023,111465,100234,70.51000000000001,10094.322,-.26609087,25799,2946
OGN,2023,6263000,12058000,14.42,255606.461,-.60004783,1200000,8760000
OI,2023,7105000,9669000,16.38,154727.283,-.011532784,409000,4946000
OIS,2023,782283,1046486,6.79,63889.176,-.094104409,23164,161355
OLED,2023,576429,1668961,191.26,47358.076,.58017969,217189,0
OLN,2023,6833000,7713200,53.95,122549.597,.033986807,712100,3022500
OLPX,2023,458300,1740338,2.54,654733.052,-.71841574,108222,655773
OM,2023,130376,313801,5.41,50204.57,-1.5629003,-169770,136188
OMCL,2023,1147112,2226878,37.63,45469.376,-.29258633,-34868,662194
OMGA,2023,3094,204366,3.01,55141.838,-.64027894,-100261,128428
ON,2023,8253000,13215200,83.53,430697.587,.29212141,2538700,3359800
ONTO,2023,815868,1909712,152.9,49080.993,.80895376,116078,0
OPK,2023,863495,2011698,1.51,773056.5330000001,.1889661,-157021,308754
OPTN,2023,70987,107729,1.29,112311.984,-.3605434,-22748,130227
ORMP,2023,1340,220551,2.31,40338.979,-1.650156,-15769,51947
OSIS,2023,1278427,1555686,117.83,16727.882,.3214283,135279,359567
OSK,2023,9657900,9129200,108.41,65413.503,.2249794,837600,772500
OSS,2023,60896.797,48265.652,2.1,20604.05,-.3600027,-7923.1548,4234.3569
OSUR,2023,405472,482845,8.19999999999999,73484.272,.53136015,32684,13504
OTIS,2023,14209000,10117000,89.47,409258.823,.1488018,2186000,7190000
OVID,2023,391.695,144026.783,3.22,70680.55100000001,.54880488,-59281.465,16001.725
OXM,2023,1571475,1097844,112.4,15629.222,.089046478,80982,337583
PACB,2023,200521,1746013,9.81,267443.887,.18171,-334467,933440
PAHC,2023,977889,971397,13.7,40503.608,-.29899478,71847,474836
PANW,2023,6892700,14501100,234.44,308594.604,.35861444,387300,2270700
PAR,2023,415823,802606,43.54,28021.454,.51289463,-59709,381832
PATK,2023,3468045,2562448,100.35,22134.344,.52837515,260200,1207061
PBF,2023,38324800,14387800,43.96,122201.138,.095003605,2951500,2032000
PBH,2023,1125357,3318417,72.56,49649.288,.14716959,342429,1155419
PBI,2023,3266348,4272185,4.4,176331.236,.2007885,-82300,2484082
PBYI,2023,235637,230528,4.33,47571.332,.023365617,32640,111490
PCAR,2023,33315500,40823400,97.65000000000001,523075.842,.43833923,5406100,992300
PCRX,2023,674978,1574386,33.74,46437.704,-.13482714,87675,586044
PDEX,2023,46087,51823,19.1,3545.309,.18022966,5762,14376
PEN,2023,1058522,1556305,251.54,38596.366,.12285471,73551,234343
PEP,2023,91471000,100495000,169.84,1374863.961,-.033457279,11986000,44105000
PFE,2023,58496000,226501000,28.79,5646413.292,-.53211904,222000,71888000
PFIE,2023,58208.06,66293.845,1.81,47587.952,.53505796,11854.101,437.71201
PG,2023,82006000,120829000,151.74,2356969.322,.079858303,18134000,34607000
PGEN,2023,6225,151043,1.34,248919.096,-.1260407,-99758,7097
PGTI,2023,1504241,1577879,40.7,57049.895,.8180809,179226,746500
PH,2023,19065194,29964472,390.04,128296.105,.47820616,3437725,12559459
PHAT,2023,682,413842,9.130000000000001,57252.519,-.20613217,-167312,439992
PHIN,2023,3500000,4041000,30.29,46685.317,,241000,798000
PI,2023,307539,359409,90.03,27055.862,-.19285488,-43484,294588
PII,2023,8934400,5516300,94.77,56472.703,-.038617134,700900,1908400
PKE,2023,56004,132309,16.63,20253.361,.23769283,8380,135
PKG,2023,7802400,8681100,162.91,89624.29700000001,.2768755,1075100,3186900
PKOH,2023,1659700,1340700,26.96,13088.278,.82008123,84100,687800
PLAB,2023,892076,1526221,31.37,62604.986,.62268901,253050,24619
PLOW,2023,568178,593418,29.68,22983.965,-.15927124,44909,254487
PLRX,2023,1580,512154,18.11,59895.958,-.065193892,-184145,11372
PLUG,2023,891340,4902738,4.5,605502.333,-1.0111969,-1343523,968850
PLXS,2023,4210305,3321172,92.98,27481.145,.060060024,195820,469610
PM,2023,35174000,65304000,94.08,1552405.991,-.018716335,11556000,47909000
PODD,2023,1697100,2588200,216.98,69827.61900000001,-.30510044,220000,1415800
POWI,2023,444538,819868,82.11,56857.583,.14463568,35059,0
POWL,2023,699308,752242,82.90000000000001,11860.583,1.3934462,62520,1436
PPC,2023,17362217,9810361,27.66,236789.929,.15324712,522286,3544863
PPG,2023,18246000,21647000,149.55,235800,.19221306,2288000,6054000
PPIH,2023,150668,155711,7.9,8063.501,-.30244589,13359,32791
PPSI,2023,41493,33022,6.79,9930.022000000001,.92963415,-2654,1214
PRAX,2023,2447,87948,22.28,8570.010133,-.4714613,-126373,2495
PRCT,2023,136191,404717,41.91,50498.621,.0088675022,-109170,79204
PRGO,2023,4655600,10809100,32.18,135506.489,-.025018692,151900,4073400
PRLB,2023,503877,772353,38.96,25785.903,.42268109,28167,5484
PRPH,2023,44384,91927,4.52,18045.029,-.75637126,-21613,21380
PRPO,2023,15197,18101,6.5,1420.125,-.52863538,-7620,1116
PSTG,2023,2830621,3655760,51.99,324910.308,.71198106,53551,267869
PSTX,2023,64703,273885,3.36,95624.439,-.45576584,-129504,85423
PSX,2023,147399000,75501000,133.14,439955.575,.28571129,7897000,19359000
PTCT,2023,937822,1895698,27.56,75463.145,-.32568431,-439502,415026
PTON,2023,2800200,2769100,7.69,354338.124,-.17710638,-1197100,2363700
PVH,2023,9217700,11172900,140.61,57688.908,.45718908,928800,3533900
PXLW,2023,59677,95969,1.31,56693.517,-.3009524,-28636,2567
QCOM,2023,35820000,51040000,111.06,1116000,.0092816353,7788000,15398000
QMCO,2023,311600,187615,.5951,95040.60799999991,-.65878773,-28877,118721
QRVO,2023,3769506,6554635,114.83,96548.458,.12270451,91701,1988012
QTRX,2023,122368,425011,27.34,37829.746,.68006563,-49701,41464
QUAD,2023,2957700,1509700,5.42,51308.367,.28399885,25700,625300
QUIK,2023,21198,47792,13.86,13910.127,.99195397,70,22390
RAIL,2023,358093,259459,2.7,17903.437,-.16989899,10492,73852
RARE,2023,434249,1491013,47.82,82114.35000000001,.031654358,-569208,43169
RBC,2023,1560300,4678600,270.35,29181.921,.14983845,342200,1234200
RCKY,2023,461833,479385,30.18,7377.829,.27283907,35372,180695
RCUS,2023,117000,1095000,19.1,74855.565,-.079478502,-340000,0
REGN,2023,13117200,33080200,878.29,108946.984,.19665861,4047100,2702900
REVG,2023,2638000,1410400,18.17,59505.829,.37848043,88600,187400
